gisjoin1890	year	statename	statenum	countyname	countynum	tpop	ln_totinc_pc1970	unionstates	gini_farmsize	banks50c	banks25c	capitalstock1902	banks50c1902	banks25c1902	tval_pc	capitalstock50pc	capitalstock_pc	ln_tval_pc	ln_manuf_val_pc	ln_farmprod_val_pc	ln_livestock_val_pc	ln_farm_mach_val_pc	ln_area_imp_farm_pc	ln_area_imp_farm	ln_manuf_estb	ln_numfarms	ln_meanfarmsize	ln_liabilities	ln_capitalstock	ln_loans	ln_liabilities_pc	ln_capitalstock_pc	ln_loans_pc	ln_tpop	banks_pc	farm_yield	insample_unionrural	insample_allrural	Mexcess_capital_pc	Mopt_capital_pc
2800150.0	1900	MISSISSIPPI	280	CARROLL	150	22116	7280012	0	0.5188280940055847	0	0	0	0	0	63394283	0	0.0	41493735	0.81275725	4113169	34083998	20143602	17601022	11764159	38066626	8138565	4577438							10004057	0.0	10517777	0	1	-53500000	53500000
2800170.0	1870	MISSISSIPPI	280	CHICKASAW	170	1484548828125	74868326	0	0.6973904967308044	0	0	0	0	0	95804115	0	0.0	45623055	20046153	44816556	3623706	19827693	15003235	11105775	36388521	7395024	41322474							9605452	0.0	19714058	0	1	-37400000	37400000
2800170.0	1880	MISSISSIPPI	280	CHICKASAW	170	17905	74868326	0	0.5136361122131348	0	0	0	0	0	653427	0	0.0	41796455	17546076	408701	32656188	16699857	16920302	11484865	2944439	74910874	51326604							9792835	0.0	10967974	0	1	-36300000	36300000
2800170.0	1890	MISSISSIPPI	280	CHICKASAW	170	19891	74868326	0	0.547751784324646	0	0	0	0	0	4274662	0	0.0	375529	13619828	365952	32545402	1506872	17189475	1161697	36109178	7830028	48093224							9898023	0.0	6962736	0	1	-49200000	49200000
2800170.0	1900	MISSISSIPPI	280	CHICKASAW	170	19892	74868326	0	0.5456143617630005	0	0	0	0	0	60497437	0	0.0	4102601	12425997	4043627	3415765	19037838	18339077	1173198	39702919	7970395	45559006							9898073	0.0	9113157	0	1	-60800000	60800000
2800190.0	1870	MISSISSIPPI	280	CHOCTAW	190	72943021240234300	7273229	0	0.4952614903450012	0	0	0	0	0	6582111	0	0.0	41869407	0.6698844	4156804	35316567	0.77486247	14697258	10364574	16158769	65220585	4218103							8894849	0.0	14688699	0	1	-39200000	39200000
2800190.0	1880	MISSISSIPPI	280	CHOCTAW	190	9036	7273229	0	0.46926647424697876	0	0	0	0	0	59039066	0	0.0	40781994	19799172	39473307	33113046	14336817	14392601	10548232	33672957	72137685	52261167							9108972	0.0	12281212	0	1	-46700000	46700000
2800190.0	1890	MISSISSIPPI	280	CHOCTAW	190	10847	7273229	0	0.3932577669620514	0	0	0	0	0	41421593	0	0.0	37238023	-0.9276018	37142081	3472014	1719746	17103894	11002033	1609438	72758646	52744837							9291644	0.0	7417328	0	1	-46700000	46700000
2800190.0	1900	MISSISSIPPI	280	CHOCTAW	190	13036	7273229	0	0.4948413074016571	0	0	0	0	0	6564736	0	0.0	41842976	21453319	40448475	34452472	18560535	16849148	11160385	38501475	76912003	4661804							947547	0.0	105902405	0	1	-59700000	59700000
2800210.0	1870	MISSISSIPPI	280	CLAIBORNE	210	13386	72496376	0	0.6296855807304382	0	0	0	0	0	107288734	0	0.0	46755238		46755238	38908472	19997886	1896425	1139839		7222566	44752984							9501965	0.0	161045	0	1	-37800000	37800000
2800210.0	1880	MISSISSIPPI	280	CLAIBORNE	210	16768	72496376	0	0.7179802060127258	0	0	0	0	0	48926228	0	0.0	38903136	-172086	388665	29945805	16290908	17570412	11484269	0.0	738709	50789127							9727227	0.0	8411577	0	1	-38000000	38000000
2800210.0	1890	MISSISSIPPI	280	CLAIBORNE	210	14516	72496376	0	0.6635113954544067	0	0	0	0	0	7422878	0	0.0	4307152	28630862	40380087	3069737	11300768	16417565	11224763	13862944	73118863	47935314							9583007	0.0	10981938	0	1	-53500000	53500000
2800210.0	1900	MISSISSIPPI	280	CLAIBORNE	210	20787	72496376	0	0.5941247940063477	0	0	75	0	0	84816185	0	0.0	44404864	34446795	39793627	3281258	19116623	17246274	1166671	37376697	79963174	44080815							9942083	0.0	9532772	0	1	-59600000	59600000
2800230.0	1870	MISSISSIPPI	280	CLARKE	230	748837353515625	7479357	0	0.5931491255760193	0	0	0	0	0	49535107	0	0.0	39026816	32492428	3168184	24725049	12000611	0.7559561	9677063	2888154	54445195	46265564							8921107	0.0	11158793	0	1	-30400000	30400000
2800230.0	1880	MISSISSIPPI	280	CLARKE	230	1498772265625	7479357	0	0.5975898504257202	0	0	0	0	0	41357964	0	0.0	3722265	24468782	33947008	27648907	0.6861324	11167544	10731741	29935145	7170974	49020944							9614986	0.0	9756624	0	1	-43700000	43700000
2800230.0	1890	MISSISSIPPI	280	CLARKE	230	15826	7479357	0	0.5551173686981201	0	0	0	0	0	5609118	0	0.0	40269785	2825216	3669355	28829443	12717011	13891652	11058575	3295837	7497207	49648557							966941	0.0	9778534	0	1	-50100000	50100000
2800230.0	1900	MISSISSIPPI	280	CLARKE	230	17741	7479357	0	0.5168755650520325	0	0	0	0	0	8530658	0	0.0	44462514	36649814	3834087	31452882	15764903	14212438	11204878	40943446	7744137	4669153							9783633	0.0	1116566	0	1	-61300000	61300000
2800250.0	1870	MISSISSIPPI	280	CLAY	250	13371541931152300	75288854	0	0.6139915911480784	0	0	0	0	0	8761555	0	0.0	44729586	22059755	43635626	3378295	16159171	15897845	11090669	34566588	68001904	4807743							9500884	0.0	16019045	0	1	-68300000	68300000
2800250.0	1880	MISSISSIPPI	280	CLAY	250	17367	75288854	0	0.5277196764945984	0	0	0	0	0	5799119	0	0.0	40602913	16566502	39655538	28898215	12480054	1545307	11307634	31780539	73178763	5069826							9762327	0.0	11248634	0	1	-55600000	55600000
